severity,first_seen,last_seen,user,ip,event,mitre,reason
CRITICAL,2026-03-10T07:01:18Z,2026-03-14T13:12:22Z,jdoe,100.108.103.43,AUTH_SUCCESS,T1078,"POSSIBLE COMPROMISE: account ""jdoe"" had 10 failed logins BEFORE a successful login from 100.108.103.43 [T1078 Valid Accounts]"
HIGH,2026-03-10T01:48:14Z,2026-03-18T22:04:34Z,N/A,51.185.130.223,AUTH_FAIL,"T1110, T1110.004","Suspicious IP ""51.185.130.223"": 80 failed logins (threshold: 5) + tried 72 different usernames (threshold: 3) [T1110, T1110.004]"
HIGH,2026-03-10T02:44:27Z,2026-03-10T02:44:27Z,evazquez35,10.0.2.87,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-10T04:32:42Z,2026-03-17T14:50:31Z,N/A,192.168.1.17,AUTH_FAIL,"T1110, T1110.004","Suspicious IP ""192.168.1.17"": 28 failed logins (threshold: 5) + tried 5 different usernames (threshold: 3) [T1110, T1110.004]"
HIGH,2026-03-10T04:41:18Z,2026-03-17T23:37:25Z,N/A,10.0.2.87,AUTH_FAIL,"T1110, T1110.004","Suspicious IP ""10.0.2.87"": 29 failed logins (threshold: 5) + tried 5 different usernames (threshold: 3) [T1110, T1110.004]"
HIGH,2026-03-10T07:01:18Z,2026-03-17T21:09:25Z,N/A,192.168.1.15,AUTH_FAIL,"T1110, T1110.004","Suspicious IP ""192.168.1.15"": 32 failed logins (threshold: 5) + tried 5 different usernames (threshold: 3) [T1110, T1110.004]"
HIGH,2026-03-10T08:53:21Z,2026-03-10T08:53:21Z,rdybald1t,199.85.211.111,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-10T16:28:52Z,2026-03-10T16:28:52Z,cpittam5,79.68.37.38,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-10T19:12:34Z,2026-03-10T19:12:34Z,bphayre6,195.195.1.138,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-10T20:03:39Z,2026-03-10T20:03:39Z,hgaineofengland3,84.201.139.199,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-10T23:31:23Z,2026-03-10T23:31:23Z,ifairbank2x,83.217.213.248,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-11T10:36:06Z,2026-03-11T10:36:06Z,tlearmondn,38.76.148.24,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-11T12:47:13Z,2026-03-11T12:47:13Z,root,93.1.127.33,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-11T15:40:46Z,2026-03-11T15:40:46Z,root,27.214.198.117,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-12T02:43:11Z,2026-03-12T02:43:11Z,hmulrooney1,194.77.213.18,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-12T06:43:35Z,2026-03-12T06:43:35Z,jkairns2o,255.140.35.50,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-12T08:25:02Z,2026-03-12T08:25:02Z,bmcniven2d,69.183.67.77,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-12T10:28:12Z,2026-03-12T10:28:12Z,dmatisoff27,48.62.183.191,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-12T13:03:27Z,2026-03-12T13:03:27Z,kwennam11,161.4.56.8,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-12T14:41:56Z,2026-03-12T14:41:56Z,bmargramp,186.133.36.204,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-12T21:54:34Z,2026-03-12T21:54:34Z,root,235.240.89.72,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-12T23:31:57Z,2026-03-12T23:31:57Z,dlasslett2j,131.195.12.213,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-13T02:21:00Z,2026-03-13T02:21:00Z,lgremane2a,168.122.146.184,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-13T15:44:00Z,2026-03-13T15:44:00Z,rshilvock2l,200.236.162.162,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-13T23:53:13Z,2026-03-13T23:53:13Z,dmcblainm,136.228.120.55,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-14T00:02:24Z,2026-03-14T00:02:24Z,root,125.232.21.10,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-14T01:33:17Z,2026-03-14T01:33:17Z,mknappen2z,173.25.107.246,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-14T06:43:56Z,2026-03-14T06:43:56Z,rdenyukin2t,80.123.211.206,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-14T14:24:21Z,2026-03-14T14:24:21Z,hsicklingk,210.158.177.73,PRIV_CHANGE,T1548.003,Privilege event: Granted sudo privileges [T1548.003]
HIGH,2026-03-14T14:45:41Z,2026-03-14T14:45:41Z,cdrever2g,236.68.243.33,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-14T17:58:23Z,2026-03-14T17:58:23Z,ealdritte,214.103.94.217,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
HIGH,2026-03-15T08:00:21Z,2026-03-15T08:00:21Z,eblindtl,155.248.115.177,PRIV_CHANGE,T1098,Privilege event: User added to administrators group [T1098]
